Time,Repeat.measurement,image,genus,species,species_author,Lat,Long,median or best estimate Ma,PaleoLat,Form,length,Zooid,width,area
Pliocene.PDT,1,BB0148,Melicerita,charlesworthi,"(Morris, 1843)",052N,001E,4,052N,Erect,366.56,1,264.04,80813.84
Pliocene.PDT,1,BB0148,Melicerita,charlesworthi,"(Morris, 1843)",,,,,Erect,368.94,2,281.37,65708.97
Pliocene.PDT,1,BB0148,Melicerita,charlesworthi,"(Morris, 1843)",,,,,Erect,359.73,3,260,75699.41
Pliocene.PDT,1,BB0151,Amphiblestrum,pouilletii ,,052N,001E,4,052N,Sheet,424.75,1,353.89,122107.65
Pliocene.PDT,1,BB0151,Amphiblestrum,pouilletii ,,,,,,Sheet,430.36,2,436.86,134800.28
Pliocene.PDT,1,BB0151,Amphiblestrum,pouilletii ,,,,,,Sheet,408.47,3,396.96,118563.74
Pliocene.PDT,1,BB0154,Microporella(cf.),ciliata ,"(Pallas, 1766)",052N,001E,4,052N,Sheet,548.53,1,315.95,122814.89
Pliocene.PDT,1,BB0154,Microporella(cf.),ciliata ,"(Pallas, 1766)",,,,,Sheet,544.65,2,295.63,108030.13
Pliocene.PDT,1,BB0154,Microporella(cf.),ciliata ,"(Pallas, 1766)",,,,,Sheet,475.18,3,285.3,103529.97
Pliocene.PDT,1,bb0161,Schizoporella,unicornis,"(Johnston, 1838)",052N,001E,4,052N,Sheet,568.21,1,410.94,173680.82
Pliocene.PDT,1,bb0161,Schizoporella,unicornis,"(Johnston, 1838)",,,,,Sheet,543.07,2,497.89,227566.3
Pliocene.PDT,1,bb0161,Schizoporella,unicornis,"(Johnston, 1838)",,,,,Sheet,551.88,3,491,215936.78
Pliocene.PDT,1,BB0169,Reptadeonella,plagiopora,"(Busk, 1859)",052N,001E,4,052N,Sheet,419.49,1,278.89,86322
Pliocene.PDT,1,BB0169,Reptadeonella,plagiopora,"(Busk, 1859)",,,,,Sheet,451.71,2,285.78,86067
Pliocene.PDT,1,BB0169,Reptadeonella,plagiopora,"(Busk, 1859)",,,,,Sheet,509.22,3,261.01,96627
Recent.PDT,1,BB0181,Therenia,n.sp.1,,006N,000W,0,006N,Sheet,562.58,1,469.17,191317.51
Recent.PDT,1,BB0181,Therenia,n.sp.1,,,,,,Sheet,590.27,2,462.87,188881.31
Recent.PDT,1,BB0181,Therenia,n.sp.1,,,,,,Sheet,706.62,3,592.74,233433.23
Pliocene.PDT,1,BB0185,Umbonula,megastoma,"(Busk ex Wood, 1844)",052N,001E,4,052N,Sheet,687.43,1,452.49,205634.1
Pliocene.PDT,1,BB0185,Umbonula,megastoma,"(Busk ex Wood, 1844)",,,,,Sheet,594.4,2,473.94,238362.79
Pliocene.PDT,1,BB0185,Umbonula,megastoma,"(Busk ex Wood, 1844)",,,,,Sheet,609.63,3,453.24,189503.64
Pliocene.PDT,1,BB0193,Cribellopora,sp.,,052N,001E,4,052N,Sheet,463.01,1,482.16,182549.02
Pliocene.PDT,1,BB0193,Cribellopora,sp.,,,,,,Sheet,466.18,2,520.75,198029.16
Pliocene.PDT,1,BB0193,Cribellopora,sp.,,,,,,Sheet,581.9,3,545.45,232707.39
Pliocene.PDT,1,BB0199,Pentapora,pertusa ,"(Milne Edwards, 1836)",052N,001E,4,052N,Erect,1123.2,1,281.82,254389.57
Pliocene.PDT,1,BB0199,Pentapora,pertusa ,"(Milne Edwards, 1836)",,,,,Erect,986.13,2,303.9,219098.22
Pliocene.PDT,1,BB0199,Pentapora,pertusa ,"(Milne Edwards, 1836)",,,,,Erect,1032.77,3,266.52,246972.81
Pliocene.PDT,1,BB0205,Schizomavella,cf. Linearis,"(Hassall, 1841)",052N,001E,4,052N,Sheet,357.84,1,343.42,100303.49
Pliocene.PDT,1,BB0205,Schizomavella,cf. Linearis,"(Hassall, 1841)",,,,,Sheet,626.82,2,283.33,120616.77
Pliocene.PDT,1,BB0205,Schizomavella,cf. Linearis,"(Hassall, 1841)",,,,,Sheet,687.11,3,247.24,135152.19
Recent.PDT,1,BB0211,Escharina,coccinea ,"(Abildgaard, 1806)",051N,002W,0,051N,Sheet,566.04,1,415.27,196551.02
Recent.PDT,1,BB0211,Escharina,coccinea ,"(Abildgaard, 1806)",,,,,Sheet,504.03,2,423.4,156677.55
Recent.PDT,1,BB0211,Escharina,coccinea ,"(Abildgaard, 1806)",,,,,Sheet,531.84,3,414.05,173120.41
Recent.PDT,1,BB0227,Buffonellaria,porcellanum ,,029N,018W,0,029N,Sheet,360.49,1,323.01,95636.81
Recent.PDT,1,BB0227,Buffonellaria,porcellanum ,,,,,,Sheet,446.85,2,276.58,86432.35
Recent.PDT,1,BB0227,Buffonellaria,porcellanum ,,,,,,Sheet,456.38,3,297.49,98888.89
Recent.PDT,1,BB0229,Calloporina,decorata,"(Reuss, 1848)",033N,017W,0,033N,Sheet,520.55,1,331.39,145331.8
Recent.PDT,1,BB0229,Calloporina,decorata,"(Reuss, 1848)",,,,,Sheet,420.56,2,366.58,142184.63
Recent.PDT,1,BB0229,Calloporina,decorata,"(Reuss, 1848)",,,,,Sheet,469.72,3,304.52,120977.33
Recent.PDT,1,BB0232,Herentia,n.sp.1,,033N,017W,0,033N,Sheet,562.74,1,379.65,167775.81
Recent.PDT,1,BB0232,Herentia,n.sp.1,,,,,,Sheet,492.09,2,516.8,188993.55
Recent.PDT,1,BB0232,Herentia,n.sp.1,,,,,,Sheet,510.1,3,503.48,191906.74
Recent.PDT,1,BB0237,Haplopoma,graniferum,"(Johnston, 1847)",052N,010W,0,052N,Sheet,630.08,1,382.53,179590.63
Recent.PDT,1,BB0237,Haplopoma,graniferum,"(Johnston, 1847)",,,,,Sheet,681.49,2,357.95,180434.38
Recent.PDT,1,BB0237,Haplopoma,graniferum,"(Johnston, 1847)",,,,,Sheet,763.42,3,426.28,195781.25
Recent.PDT,1,BB0251,Buffonellaria,n. sp. 2,,079N,016E,0,079N,Sheet,695.48,1,383.65,200499.59
Recent.PDT,1,BB0251,Buffonellaria,n. sp. 2,,,,,,Sheet,599.76,2,398.01,198633.77
Recent.PDT,1,BB0251,Buffonellaria,n. sp. 2,,,,,,Sheet,578.76,3,425.58,219898.04
Recent.PDT,1,BB0260,Therenia,n.sp.2,,033N,017W,0,033N,Sheet,669.8,1,472.68,238650.84
Recent.PDT,1,BB0260,Therenia,n.sp.2,,,,,,Sheet,563.05,2,646.31,267414.12
Recent.PDT,1,BB0260,Therenia,n.sp.2,,,,,,Sheet,541.16,3,611.47,214503.44
Recent.PDT,1,BB0267,Buffonellaria,n.sp.5,,033N,017W,0,033N,Sheet,574.7,1,328.8,177280.17
Recent.PDT,1,BB0267,Buffonellaria,n.sp.5,,,,,,Sheet,514.37,2,288.6,140145.96
Recent.PDT,1,BB0267,Buffonellaria,n.sp.5,,,,,,Sheet,531.74,3,426.43,201772.87
Recent.PDT,1,BB0274,Buffonellaria,n.sp.6,,033N,017W,0,033N,Sheet,343.44,1,252.56,79243.21
Recent.PDT,1,BB0274,Buffonellaria,n.sp.6,,,,,,Sheet,460.82,2,328.9,101935.8
Recent.PDT,1,BB0274,Buffonellaria,n.sp.6,,,,,,Sheet,426.88,3,316.68,99229.63
Pleistocene.PDT,1,dc0002,Puellina,,,043N,140E,1,043N,Sheet,296.36,1,304.7,66902.48
Pleistocene.PDT,1,dc0002,Puellina,,,,,,,Sheet,268.85,2,305.81,67128.93
Pleistocene.PDT,1,dc0002,Puellina,,,,,,,Sheet,309.11,3,289.91,75966.94
Pleistocene.PDT,1,dc0033,Amphiblestrum,sp. 1,,043N,140E,1,043N,Sheet,669.1,1,397.55,183087.45
Pleistocene.PDT,1,dc0033,Amphiblestrum,sp. 1,,,,,,Sheet,740.48,2,405.1,198344.74
Pleistocene.PDT,1,dc0033,Amphiblestrum,sp. 1,,,,,,Sheet,640.54,3,402.98,171168.95
Miocene.PDT,1,edm4554,Schizosmittina,planovicellata,"Vigneaux, 1949",044N,001W,13,041N,Sheet,547.38,1,312.37,141973.189
Miocene.PDT,1,edm4554,Schizosmittina,planovicellata,"Vigneaux, 1949",,,,,Sheet,511.72,2,296.59,108284.955
Miocene.PDT,1,edm4554,Schizosmittina,planovicellata,"Vigneaux, 1949",,,,,Sheet,362.11,3,248.42,74963.439
Miocene.PDT,1,edm4569,Hemiphylactella,pulchra,"Vigneaux, 1949",045N,001W,20,042N,Sheet,484.13,1,268.86,97727.457
Miocene.PDT,1,edm4569,Hemiphylactella,pulchra,"Vigneaux, 1949",,,,,Sheet,464.18,2,336.82,109292.265
Miocene.PDT,1,edm4569,Hemiphylactella,pulchra,"Vigneaux, 1949",,,,,Sheet,430.02,3,318.78,104991.478
Miocene.PDT,1,edm4583,Hemicosciniopsis,incrustans,"Vigneaux, 1949",045N,001W,22,042N,Sheet,506.1,1,424.16,172470
Miocene.PDT,1,edm4583,Hemicosciniopsis,incrustans,"Vigneaux, 1949",,,,,Sheet,490.98,2,396.35,147634
Miocene.PDT,1,edm4583,Hemicosciniopsis,incrustans,"Vigneaux, 1949",,,,,Sheet,498.22,3,373.19,148883
Miocene.PDT,1,edm4593,Pleuromucrum,saucatsense,"Vigneaux, 1949",045N,001W,20,042N,Sheet,398.04,1,218.16,72569.342
Miocene.PDT,1,edm4593,Pleuromucrum,saucatsense,"Vigneaux, 1949",,,,,Sheet,396.49,2,230.97,71305.473
Miocene.PDT,1,edm4593,Pleuromucrum,saucatsense,"Vigneaux, 1949",,,,,Sheet,423.27,3,270.77,74037.537
Miocene.PDT,1,edm4615,Hemiphylactella,crassovicellata,"Vigneaux, 1949",044N,001W,13,041N,Sheet,388.79,1,306.56,83104.056
Miocene.PDT,1,edm4615,Hemiphylactella,crassovicellata,"Vigneaux, 1949",,,,,Sheet,368.48,2,271.47,79021.794
Miocene.PDT,1,edm4615,Hemiphylactella,crassovicellata,"Vigneaux, 1949",,,,,Sheet,352.9,3,246.11,69927.564
Miocene.PDT,1,edm4616,Characodoma?,,,007S,111E,14,NA,Sheet,237.91,1,291.13,54295.607
Miocene.PDT,1,edm4616,Characodoma?,,,,,,,Sheet,289.02,2,268.46,59601.023
Miocene.PDT,1,edm4616,Characodoma?,,,,,,,Sheet,291.2,3,268.54,68165.244
Turonian.PDT,1,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",050N,015E,94,042N,Sheet,520.34,1,257.4,128870.77
Turonian.PDT,1,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,541.57,2,331.05,119580
Turonian.PDT,1,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,474.02,3,323.06,104261.616
Turonian.PDT,2,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,511.099,1,266.008,98842.381
Turonian.PDT,2,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,536.955,2,335.399,126638.556
Turonian.PDT,2,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,464.493,3,289.69,104225.462
Turonian.PDT,3,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,499.43,1,268.702,93707.295
Turonian.PDT,3,kz0076,Wilbertopora,cribellum,"(Pocta, 1892)",,,,,Sheet,524.095,2,351.127,112059.095
